nombre,categoria,tematica,descripcion,precio_base,stock,imagen,status
Tasa sombrero de Luffy,Hogar,One Piece,"Taza con forma del sombrero de paja de Luffy. Capacidad 300ml, apta para microondas.",16990,50,,activo
Peluche de Labunna,Coleccionables,Varios,"Peluche suave de personaje anime. Material hipoalergénico, altura 25cm. Ideal para coleccionistas.",22990,30,,activo
Alcansias de fruta,Alcancías,One Piece,Alcancías con forma de frutas del diablo. Diseños variados con ranura superior y base removible.,19990,40,,activo
Choper,Coleccionables,One Piece,"Figura de Tony Tony Chopper en diferentes poses. Material PVC, altura 14cm con base incluida.",24990,35,,activo
Barcos armados,Coleccionables,One Piece,"Modelos de barcos pirata con cañones y detalles. Escala 1:500, material plástico de calidad.",42990,15,,activo
Barcos sin armas,Coleccionables,One Piece,Modelos de barcos pirata versión civil. Detalles de cubierta y velas. Perfectos para exhibición.,35990,20,,activo
Cajas de luz,Hogar,Varios,"Cajas de luz LED personalizables con diferentes temas. Control remoto incluido, 16 colores RGB.",32990,25,,activo
Lamparas de logos,Hogar,Varios,"Lámparas LED con logos de franquicias populares. Iluminación RGB, control táctil.",28990,30,,activo
Bases para Switch,Gaming,Gaming,Bases de carga y exhibición para Nintendo Switch. Diseño ergonómico con ventilación.,18990,45,,activo
Bases para Switch OLED,Gaming,Gaming,Bases específicas para Nintendo Switch OLED. Ajuste perfecto con protección adicional.,22990,35,,activo
Bases para control de GameCube,Gaming,Gaming,Bases de exhibición para controles de GameCube. Material resistente con diseño nostálgico.,15990,40,,activo
Bases para control y caset de Switch,Gaming,Gaming,Base doble para control y juegos de Switch. Organización perfecta para setup gaming.,24990,30,,activo
Bases para PS,Gaming,Gaming,Bases universales para controles de PlayStation. Compatible con PS4 y PS5.,16990,50,,activo
Bases para control universal,Gaming,Gaming,Base de carga universal para múltiples controles. USB-C y micro USB incluidos.,29990,25,,activo
Bases para telefono,Tecnología,Varios,"Soporte ajustable para teléfonos móviles. Rotación 360°, compatible con todos los tamaños.",12990,60,,activo
Bases para audifonos,Tecnología,Varios,Soporte premium para audífonos con base estable. Diseño elegante para escritorio.,14990,55,,activo
Control de PS5,Gaming,Gaming,Control inalámbrico para PlayStation 5. Tecnología DualSense con retroalimentación háptica.,89990,20,,activo
Televisor de los Simpson,Hogar,Los Simpson,"Televisor retro con diseño de Los Simpson. Pantalla LCD 24 pulgadas, múltiples entradas.",159990,8,,activo
Darth Vader con lapicero,Papelería,Star Wars,Figura de Darth Vader que funciona como porta lapiceros. Base estable con compartimientos.,26990,30,,activo
Lapicero de sable laser,Papelería,Star Wars,"Lapicero con forma de sable de luz. LED funcional, tinta azul o roja disponible.",15990,45,,activo
Den de Mushi,Coleccionables,One Piece,"Réplica del caracol teléfono Den Den Mushi. Detalles fieles al anime, material PVC.",28990,25,,activo
Base de Alexa,Tecnología,Varios,Base decorativa para Amazon Alexa con diseño temático. Mejora la estética del dispositivo.,19990,35,,activo
Faced shield de araña,Disfraces,Marvel,Máscara facial de Spider-Man con diseño detallado. Material cómodo y transpirable.,22990,40,,activo
Casco Deadpool pelicula,Disfraces,Marvel,"Casco completo de Deadpool versión película. Material latex de alta calidad, talla única.",45990,15,,activo
Casco Deadpool comic,Disfraces,Marvel,Casco de Deadpool estilo cómic. Colores vibrantes y detalles fieles al personaje original.,42990,18,,activo
Casco Deadpool Wolverine,Disfraces,Marvel,Casco híbrido Deadpool-Wolverine. Diseño único con elementos de ambos personajes.,49990,12,,activo
Casco Wolverine con patillas,Disfraces,Marvel,"Casco de Wolverine con patillas características. Material resistente, ajuste cómodo.",44990,16,,activo
Bases para casco,Accesorios,Varios,"Bases de exhibición para cascos coleccionables. Material acrílico transparente, estable.",16990,50,,activo
Casco Mandaloriano,Disfraces,Star Wars,"Casco del Mandaloriano con acabado metálico. Visera funcional, réplica de alta calidad.",69990,10,,activo
Dioramas,Hogar,Varios,Dioramas temáticos de diferentes franquicias. Escenas detalladas con iluminación LED opcional.,55990,12,,activo
Afiches metalicos One Piece,Hogar,One Piece,"Afiches metálicos vintage de One Piece. Diferentes diseños disponibles, tamaño 30x20cm.",12990,60,,activo
Afiches metalicos variados,Hogar,Varios,Colección de afiches metálicos de diferentes temas. Calidad premium con acabado retro.,11990,70,,activo
Ojo de Agamoto,Accesorios,Marvel,"Réplica del Ojo de Agamotto de Doctor Strange. Collar incluido, detalles grabados.",32990,20,,activo
Cuernos de Loki,Accesorios,Marvel,"Diadema con cuernos de Loki. Material liviano pero resistente, ajuste cómodo.",24990,25,,activo
Cuernos de Silvi,Accesorios,Marvel,Cuernos de Sylvie variante de Loki. Diseño único con detalles dorados.,26990,22,,activo
Corona de Wanda,Accesorios,Marvel,Corona de Scarlet Witch con gemas decorativas. Material metálico con acabado envejecido.,29990,18,,activo
Mascara Abu,Disfraces,Varios,"Máscara de Abu de Aladdin. Material suave y cómodo, colores vibrantes.",18990,35,,activo
Mascara sin Rosy,Disfraces,Varios,Máscara genérica sin diseño específico. Base para personalizar o usar simple.,12990,50,,activo
Rocasemon,Coleccionables,Pokémon,Figura coleccionable de Pokémon tipo roca. Material resistente con detalles texturizados.,21990,30,,activo
Mascara Kaiju No.8,Disfraces,Anime,Máscara del protagonista de Kaiju No. 8. Diseño detallado con elementos característicos.,27990,25,,activo
Mascara de Majoras,Disfraces,Zelda,"Réplica de la Máscara de Majora. Detalles escalofriantes, material de calidad.",38990,15,,activo
Mascara vailarina sedoso,Disfraces,Varios,Máscara de baile con acabado sedoso. Diseño elegante para eventos especiales.,22990,30,,activo
Mascara de Obito,Disfraces,Naruto,"Máscara de Obito Uchiha con diseño en espiral. Material resistente, ajuste cómodo.",25990,28,,activo
Cubrebocas Okarun,Disfraces,Anime,Cubrebocas temático de Dandadan. Material transpirable con diseño llamativo.,8990,80,,activo
Cubre boca de Deku,Disfraces,My Hero Academia,"Mascarilla con diseño de Deku. Material higiénico lavable, múltiples usos.",9990,75,,activo
Mascara de Ghost,Disfraces,Varios,"Máscara de fantasma clásica. Material latex, perfecta para Halloween o cosplay.",16990,40,,activo
Cubre bocas Sub-Zero,Disfraces,Mortal Kombat,Mascarilla de Sub-Zero con diseño helado. Material cómodo con estampado resistente.,11990,60,,activo
Garras Wolverine,Réplicas,Marvel,"Garras retráctiles de Wolverine. Material metálico seguro, mecanismo funcional.",34990,20,,activo
Cocodrilo articulado,Juguetes,Varios,"Figura de cocodrilo con articulaciones móviles. Mandíbula funcional, detalles realistas.",19990,35,,activo
Mouse pad,Gaming,Gaming,Mouse pad gaming XL con superficie antideslizante. Diseños temáticos variados disponibles.,14990,60,,activo
Paquete de stickers,Papelería,Varios,"Set de stickers variados de diferentes franquicias. Resistentes al agua, múltiples tamaños.",5990,100,,activo
Casco Spiderman,Disfraces,Marvel,"Casco de Spider-Man clásico. Material flexible, diseño de telaraña detallado.",32990,25,,activo
Espada metalica pequeña,Réplicas,Varios,"Mini espada decorativa con filo no cortante. Material metálico, perfecta para exhibición.",16990,45,,activo
Cubreboca Bane,Disfraces,DC Comics,Mascarilla inspirada en Bane. Diseño robusto con detalles metálicos impresos.,13990,50,,activo
Cubreboca Viper,Disfraces,Street Fighter,Cubrebocas de Viper con diseño tecnológico. Material transpirable de calidad.,12990,55,,activo
Casco Black Panther,Disfraces,Marvel,"Casco de Black Panther con detalles felinos. Material resistente, visibilidad óptima.",47990,14,,activo
Cascos Rangers,Disfraces,Power Rangers,"Cascos de diferentes Power Rangers. Múltiples colores disponibles, material resistente.",39990,20,,activo
Casco Spiderman Toby,Disfraces,Marvel,Casco de Spider-Man versión Tobey Maguire. Diseño nostálgico de las primeras películas.,41990,16,,activo
Casco Mais PS1,Disfraces,Gaming,Casco con diseño retro de PlayStation 1. Nostalgia gaming en forma de accesorio.,29990,22,,activo
Casco Merodeador,Disfraces,Harry Potter,Casco del Merodeador con mapa incluido. Detalles mágicos grabados en la superficie.,36990,18,,activo
Casco Spiderman Venom desmontable,Disfraces,Marvel,"Casco híbrido Spider-Man/Venom desmontable. Dos looks en uno, mecanismo único.",52990,12,,activo
Casco Moon Knight,Disfraces,Marvel,"Casco de Moon Knight con acabado lunar. Material liviano, diseño místico.",43990,15,,activo
Bustos Deadpool,Coleccionables,Marvel,"Busto coleccionable de Deadpool. Base incluida, detalles esculpidos a mano.",65990,8,,activo
Casco Daredevil,Disfraces,Marvel,Casco de Daredevil con cuernos característicos. Material flexible de alta calidad.,38990,17,,activo
Casco Capitan America,Disfraces,Marvel,"Casco del Capitán América con estrella central. Colores patrióticos, ajuste perfecto.",42990,16,,activo
Tiara de Sailor Moon,Accesorios,Sailor Moon,Tiara de Sailor Moon con gema central. Material dorado con detalles brillantes.,24990,30,,activo
Aether,Coleccionables,Genshin Impact,Figura de Aether de Genshin Impact. Pose dinámica con efectos translúcidos.,45990,15,,activo
Antifac,Accesorios,Varios,"Accesorio antifacial genérico. Uso múltiple, material higiénico lavable.",8990,80,,activo
Cascos Venom,Disfraces,Marvel,"Casco de Venom con lengua móvil. Diseño aterrador, material latex de calidad.",49990,13,,activo
Espadas de Minecraft,Réplicas,Minecraft,"Espadas pixeladas de Minecraft. Diferentes materiales: diamante, hierro, oro disponibles.",22990,40,,activo
Espada Meliodas,Réplicas,Anime,Réplica de la espada de Meliodas. Diseño único con grabados característicos.,67990,10,,activo
Oses espada del augurio,Réplicas,Thundercats,Espada del Augurio de los Thundercats. Ojo funcional con luz LED.,72990,8,,activo
Copa piston,Hogar,Varios,"Copa decorativa con diseño de pistón. Material metálico, perfecta para exhibición.",14990,45,,activo
Masetas Koffing,Hogar,Pokémon,"Macetas con forma de Koffing. Perfectas para plantas pequeñas, drenaje incluido.",18990,35,,activo
Espejos,Hogar,Varios,Espejos decorativos con marcos temáticos. Diferentes tamaños y diseños disponibles.,24990,30,,activo
Llavero 9 3/4,Accesorios,Harry Potter,Llavero de la plataforma 9¾ de Harry Potter. Metal esmaltado con cadena resistente.,8990,70,,activo
Llavero ninja,Accesorios,Naruto,Llavero con símbolo ninja de la Hoja. Material metálico con acabado envejecido.,6990,85,,activo
Llavero de fruta,Accesorios,One Piece,Llavero de fruta del diablo en miniatura. Diferentes modelos disponibles.,7990,80,,activo
Llaveros caset de 64,Accesorios,Gaming,Llaveros con forma de cartuchos de Nintendo 64. Nostalgia gaming en miniatura.,9990,65,,activo
Llaveros de NES,Accesorios,Gaming,"Llaveros de cartuchos de NES. Diseños de juegos clásicos, material resistente.",8990,75,,activo
Llaveros metalicos One Piece,Accesorios,One Piece,Llaveros metálicos con símbolos de One Piece. Varios diseños de tripulaciones.,10990,60,,activo
Pines,Accesorios,Varios,Colección de pines esmaltados de diferentes franquicias. Cierre de seguridad incluido.,4990,120,,activo
Llavero acrilico,Accesorios,Varios,Llaveros de acrílico transparente personalizables. Múltiples formas y tamaños.,5990,100,,activo
Logos X-Men,Hogar,X-Men,Elementos decorativos con logos de X-Men. Diferentes tamaños para pared o escritorio.,16990,40,,activo
Paquetes de stickers,Papelería,Varios,Paquetes variados de stickers coleccionables. Diferentes temas y franquicias.,6990,90,,activo
Calamardos,Coleccionables,Bob Esponja,"Figuras de Calamardo en diferentes poses. Material PVC, perfectas para fans.",19990,35,,activo
Espada metalica,Réplicas,Varios,Espada decorativa de metal con vaina incluida. Diseño elegante para coleccionistas.,45990,20,,activo
Casco de Adan,Disfraces,DC Comics,"Casco de Adam/Atom con detalles tecnológicos. Material liviano, diseño futurista.",41990,16,,activo
